iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SOM,Africa,Somalia,2021-06-27,14892.0,0.0,5.714,775.0,0.0,0.0,937.003,0.0,0.36,48.763,0.0,0.0,0.86,,,,,,,,,,,,,,,,,,190399.0,135760.0,54639.0,12135.0,4630.0,1.2,0.85,0.34,291.0,29.63,15893219.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,
ZAF,Africa,South Africa,2021-06-27,1928897.0,15036.0,15082.571,59900.0,122.0,171.143,32523.008,253.521,254.306,1009.97,2.057,2.886,1.43,,,,,,,,,65631.0,12769052.0,215.298,1.107,55014.0,0.928,0.236,4.2,people tested,2682710.0,2661378.0,479771.0,21332.0,77298.0,4.52,4.49,0.81,1303.0,59.26,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,
OWID_SAM,,South America,2021-06-27,32560949.0,91406.0,135126.429,994754.0,2187.0,3434.714,75589.577,212.197,313.693,2309.301,5.077,7.974,,,,,,,,,,,,,,,,,,,175781064.0,123462864.0,52655574.0,4193891.0,2304116.0,40.81,28.66,12.22,5349.0,,430759772.0,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-06-27,155572.0,501.0,580.857,2015.0,2.0,1.571,3034.415,9.772,11.33,39.302,0.039,0.031,1.05,,,,,,,,,26546.0,10344357.0,201.766,0.518,25164.0,0.491,0.02,51.1,people tested,18807776.0,15290302.0,4643951.0,820.0,122996.0,36.68,29.82,9.06,2399.0,50.0,51269183.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,
SSD,Africa,South Sudan,2021-06-27,10812.0,0.0,6.0,115.0,0.0,0.0,965.898,0.0,0.536,10.274,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,32959.0,30849.0,2110.0,,1260.0,0.29,0.28,0.02,113.0,25.0,11193729.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,
ESP,Europe,Spain,2021-06-27,3782463.0,0.0,3574.429,80779.0,0.0,18.143,80900.023,0.0,76.451,1727.716,0.0,0.388,0.94,,,,,17.78,0.38,347.703,7.437,,45646076.0,976.287,,88116.0,1.885,0.039,25.9,tests performed,38808490.0,24325902.0,15894800.0,514619.0,485193.0,83.0,52.03,34.0,10377.0,54.17,46754783.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,
LKA,Asia,Sri Lanka,2021-06-27,253618.0,1867.0,1989.857,2944.0,39.0,51.857,11843.975,87.189,92.926,137.485,1.821,2.422,0.91,,,,,,,,,17552.0,3969644.0,185.383,0.82,18706.0,0.874,0.112,8.9,tests performed,3367220.0,2500428.0,866792.0,22426.0,40616.0,15.72,11.68,4.05,1897.0,85.19,21413250.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,
SDN,Africa,Sudan,2021-06-27,36574.0,0.0,32.429,2754.0,4.0,2.429,834.085,0.0,0.74,62.806,0.091,0.055,0.58,,,,,,,,,,,,,,,,,,629692.0,520928.0,108764.0,,14177.0,1.44,1.19,0.25,323.0,62.04,43849269.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,
SUR,South America,Suriname,2021-06-27,21249.0,189.0,174.857,507.0,8.0,6.714,36221.903,322.177,298.069,864.253,13.637,11.445,0.93,,,,,,,,,,,,,,,,,,191963.0,157459.0,34504.0,2860.0,2324.0,32.72,26.84,5.88,3962.0,,586634.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,
SWE,Europe,Sweden,2021-06-27,1088896.0,0.0,608.571,14619.0,0.0,6.429,107819.278,0.0,60.259,1447.53,0.0,0.637,0.46,70.0,6.931,373.0,36.933,7.823,0.775,,,21588.0,,,2.138,21588.0,2.138,0.008,128.1,tests performed,7229002.0,4507250.0,2721752.0,129765.0,79608.0,71.58,44.63,26.95,7883.0,54.63,10099270.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,
